type,by,post_message,picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes,likes_count_fb,comments_count_fb,comments_all,comments_base,comments_replies,shares,comment_likes,engagement,post_id,post_link
photo,post_page_128219800554550,An amazing finale! Thank you to all the students_ staff and faculty that represented the 10 regions of Ghana at our last global learning event for the semester! What a way to highlight the cultural richness of Ghana_s people. #TeamGhana #TeamAshesi,https://scontent.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s130x130/11156228_955427071167148_7375292829275725180_n.jpg?oh=e3bd228ae6e3e84345ca6c82ff0a870a&oe=55A14AF6,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/955427071167148/?type=1,facebook.com,2015-04-20T18:21:32+0000,1429554092,4/20/2015 20:21,209,212,3,3,3,0,5,0,217,128219800554550_955427321167123,https://www.facebook.com/128219800554550/posts/955427321167123
photo,post_page_128219800554550,As we gear up to welcome our pioneer engineering class_ we are excited by all the progress being made towards our new Engineering Building! The facility will expand student collaboration spaces on campus and be an inspiring base for Ashesi_s future engineers! #Ghana #Africa #Vim,https://scontent.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/s130x130/1555415_952967811413074_9151500394505597134_n.jpg?oh=b15b4d53e70e740d91e72aad7ce5c676&oe=55E1E360,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/952967811413074/?type=1,facebook.com,2015-04-15T16:00:22+0000,1429113622,4/15/2015 18:00,388,389,15,15,9,6,29,4,436,128219800554550_952970611412794,https://www.facebook.com/128219800554550/posts/952970611412794
photo,post_page_128219800554550,“Working on a lot of rape_ murder and robbery cases_ meant I would go to sleep afraid of the possibility that the people I was prosecuting could have me followed. I had to learn to overcome that fear_ because the work I was doing was incredibly important._  Proud of Ashesi Alumna Enid Marful-Sau _07_ and her work as a lawyer in Ghana: http://bit.ly/enidsau07 #AshesiAlumni #Vim,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/s130x130/10425894_952024514840737_4101793546662115744_n.jpg?oh=2bab60a476b4eb4dda956c9c6f6156ba&oe=55D4617D&__gda__=1436522688_6bc522ab9064042138dc95155bc93249,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/952024514840737/?type=1,facebook.com,2015-04-13T16:40:26+0000,1428943226,4/13/2015 18:40,422,428,30,28,25,3,17,13,480,128219800554550_952024731507382,https://www.facebook.com/128219800554550/posts/952024731507382
photo,post_page_128219800554550,At our end of semester townhall meeting_ Kenyans at Ashesi led the university community in tributes to the young leaders attacked at #Garissa University. You have our solidarity_ Kenya. - http://bit.ly/garissa #147notjustanumber,https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/s130x130/1470034_950343045008884_1323279963440233313_n.jpg?oh=b207df46153daee802d0e44f9af21aec&oe=55A15A1A&__gda__=1440874623_4018835dff157937ef3c461747927c6a,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/950343045008884/?type=1,facebook.com,2015-04-10T18:15:07+0000,1428689707,4/10/2015 20:15,371,373,2,2,2,0,54,0,427,128219800554550_950345085008680,https://www.facebook.com/128219800554550/posts/950345085008680
photo,post_page_128219800554550,_Ghana needs people who will speak up for the poor; people who will be the voice of the eternally stooped sheanut pickers of the Savannah_ the weary and worn cocoa farmers of the south_ and the fatigued and forlorn fisher-folk of our fouled beaches. Ghana needs people like you._  On #ThrowBackThursday_ be energised by Kwaku Sakyi-Addo_s address to Ashesi_s Class of 2014 at last year_s graduation ceremony: http://bit.ly/Ashesi2014Guest,https://scontent.xx.fbcdn.net/hphotos-xtf1/v/t1.0-9/s130x130/11134164_949812218395300_6729782673131420776_n.jpg?oh=fc87148f442518d4a3df7e4a78a45751&oe=55A2FFB1,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/949812218395300/?type=1,facebook.com,2015-04-09T17:06:10+0000,1428599170,4/9/2015 19:06,377,381,16,15,12,3,43,8,443,128219800554550_949814071728448,https://www.facebook.com/128219800554550/posts/949814071728448
photo,post_page_128219800554550,Did you know Ashesi has students from over 20 countries across Africa? This week_ our International Students Club is celebrating the diversity of Ashesi_s campus_ highlighting the global importance of intercultural understanding. What is one of the best things about your culture you want to share with the world?,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/s130x130/10440954_948794445163744_5318029280234514211_n.jpg?oh=4e56831ac3d2f9ac2a50f539c9850603&oe=55DBD34A&__gda__=1440172564_74f87f958c5e1eedd51a5967ccc1ac8f,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/948794445163744/?type=1,facebook.com,2015-04-07T17:40:29+0000,1428428429,4/7/2015 19:40,202,206,3,3,3,0,3,1,209,128219800554550_948794811830374,https://www.facebook.com/128219800554550/posts/948794811830374
photo,post_page_128219800554550,_Whatever you can do_ or dream you can_ begin. Begin it now._  Congratulations on your 50th birthday Patrick Awuah Jr._ our Founder and President! Here_s to inspiring us to believe that with passion_ commitment and strong leadership_ we can bring change to the world! We are proud to call you captain!   How has #PatrickAwuah inspired you?,https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/11081488_945952482114607_4272592602582552605_n.jpg?oh=82165416c2f0ad1810471977c30ec501&oe=55A3F729,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/945952482114607/?type=1,facebook.com,2015-04-02T10:21:33+0000,1427970093,4/2/2015 12:21,876,881,37,37,37,0,76,103,1092,128219800554550_945952668781255,https://www.facebook.com/128219800554550/posts/945952668781255
photo,post_page_128219800554550,Share this: we_re inviting high school students to apply to join the Ashesi Innovation Experience (AIX) 2015! AIX is a two-week programme that teaches highschoolers skills in leadership_ entrepreneurship_ design thinking and engineering: http://www.ashesi.edu.gh/aix,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/s130x130/11075039_945132588863263_8093952963649312965_n.jpg?oh=d88a81ab39a9bf2a27c030b22d5fe15e&oe=55D1EF4A&__gda__=1440401940_1e8daab5634e40d16fb727971138b8a4,https://www.facebook.com/Ashesi/photos/a.637734436269748.1073741832.128219800554550/945132588863263/?type=1,facebook.com,2015-03-31T17:39:19+0000,1427823559,3/31/2015 19:39,145,147,8,8,8,0,68,2,223,128219800554550_945135112196344,https://www.facebook.com/128219800554550/posts/945135112196344
photo,post_page_128219800554550,Berekuso_s hills on a sunny day. Now that_s a view to study to! #Ashesi #Ghana,https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/10929196_944110402298815_6951820946397837305_n.jpg?oh=f3b9faf5f3c0436ed60444bc76694fff&oe=55DEB4A1,https://www.facebook.com/Ashesi/photos/a.637734436269748.1073741832.128219800554550/944110402298815/?type=1,facebook.com,2015-03-29T12:45:31+0000,1427633131,3/29/2015 14:45,249,253,7,6,6,0,6,0,261,128219800554550_944113065631882,https://www.facebook.com/128219800554550/posts/944113065631882
photo,post_page_128219800554550,Pope Francis. Bill & Melinda Gates. Ngozi Okonjo-Iweala. Tim Cook; extraordinary men and women transforming business_ government_ philanthropy and so much more_ and inspiring a world in crisis. Congrats to Ashesi President Patrick Awuah Jr._ for being named among Fortune_s list of 50 Greatest World Leaders - http://fortune.com/worlds-greatest-leaders/ #Ashesi #Africa #Vim,https://scontent.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/s130x130/20730_943173365725852_6513247067458908050_n.jpg?oh=aa462abe2a9139a9e558cdc7db7281e6&oe=55DFBF50,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/943173365725852/?type=1,facebook.com,2015-03-27T15:40:57+0000,1427470857,3/27/2015 16:40,582,589,56,55,54,1,170,50,857,128219800554550_943173725725816,https://www.facebook.com/128219800554550/posts/943173725725816
