nodedef>name VARCHAR,label VARCHAR,type VARCHAR,type_post VARCHAR,post_published VARCHAR,post_published_unix INT,user_locale VARCHAR,user_sex VARCHAR,likes INT,likes_count_fb INT,comments_all INT,comments_base INT,comments_replies INT,comment_likes INT,shares INT,engagement INT,post_id VARCHAR,post_link VARCHAR
3e2c67116c5851384cad0b972e505df27074063d,An amazing finale! Thank you to all the students_ staff and faculty that represented the 10 regions of Ghana at our last global learning event for the semester! What a way to highlight the cultural richness of Ghana_s people. #TeamGhana #TeamAshesi,post_page_128219800554550,photo,2015-04-20T18:21:32+0000,,,,209,212,3,3,0,0,5,217,128219800554550_955427321167123,https://www.facebook.com/128219800554550/posts/955427321167123
9d34eb879ebaac0a3854b01de464378d44574ee3,user_100000386196259,user,user,,,en_GB,female,2,,0,0,0,,,2,,
dfdc156496f77dc1eeced23a0ff9f401f3a3d91a,user_1628201868,user,user,,,en_US,female,11,,0,0,0,,,11,,
887a2136741b48b4c8e73897cf7c4ec0efe1ef49,user_503926251,user,user,,,en_US,female,2,,0,0,0,,,2,,
3cbc84b00be12e6eaeb433852f6ac20296575bfe,user_1460481919,user,user,,,en_US,male,26,,1,1,0,,,27,,
b1be8e4d1dce5406269ddde5528474ef8a2d319a,user_695620483,user,user,,,en_GB,female,1,,0,0,0,,,1,,
c66b35ac4cc856f4af66a4f9c81ecb1ca6e3b8be,user_690338403,user,user,,,en_US,female,17,,2,2,0,,,19,,
02961f890b6e10daf1ea618439940d7bc1ed67e8,user_100002291641139,user,user,,,en_GB,male,7,,0,0,0,,,7,,
6855504b1beccf24d73a1de15e590b872951eb0a,user_100002369768340,user,user,,,en_GB,female,6,,0,0,0,,,6,,
95c25d8e475f6f9882bf3d85958dc4c2768c6d15,user_100003379434924,user,user,,,en_GB,female,33,,0,0,0,,,33,,
c0076d7ee06e9e70bb840ffeed0a7ee899c6daac,user_1344031628,user,user,,,en_GB,female,12,,0,0,0,,,12,,
4df3ccdb58468a8be716cc1d5cfb82bf1228d4c9,user_100005997940888,user,user,,,en_US,female,2,,0,0,0,,,2,,
fa96939764bd900a95027c07756632a038548322,user_100002172069504,user,user,,,en_US,male,12,,5,5,0,,,17,,
b2700b86400c12d3ef8ef67f0b933dcd62a953fa,user_100000127702688,user,user,,,en_GB,female,1,,0,0,0,,,1,,
a728795bc7c10c0542b75261f3273849ba0fe34c,user_100005594568494,user,user,,,en_US,male,2,,0,0,0,,,2,,
d9ddf49d984faf4217a695c02e29b2b5d0b9b126,user_691786229,user,user,,,en_GB,male,14,,2,2,0,,,16,,
40ba269fef1c8be1f97e055457f4b801e9df3b3d,user_757089623,user,user,,,en_US,female,4,,0,0,0,,,4,,
45c60f84eeb9c0659fec5f141dae64ace4cef7c0,user_1252360970,user,user,,,en_US,female,15,,1,1,0,,,16,,
