type	by	post_message	picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes	likes_count_fb	comments_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
photo	post_page_73089331857	Brace yourselves Oliners.. #courseevals	https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/11156321_10153133322231858_7274610536143645286_n.jpg?oh=8ea984e19f820545da4ad4baae79cae2&oe=559D9589	https://www.facebook.com/FWOlinCollege/photos/a.85233596857.113263.73089331857/10153133322231858/?type=1	facebook.com	2015-04-17T17:56:09+0000	1429293369	2015-04-17 19:56:09	6	6	0	0	0	0	0	0	6	73089331857_10153133322556858	https://www.facebook.com/73089331857/posts/10153133322556858
event	post_page_73089331857	Olin College of Engineering created an event.	https://scontent.xx.fbcdn.net/hphotos-xta1/v/t1.0-9/c130.0.130.130/p130x130/11140018_10153131222436858_1334106842500335063_n.png?oh=1aa3a36f27a5443e8b673e0a131b5416&oe=55D96402	https://www.facebook.com/events/644700962341382/	facebook.com	2015-04-16T19:21:24+0000	1429212084	2015-04-16 21:21:24	4	4	0	0	0	0	0	0	4	73089331857_644700962341382	https://www.facebook.com/73089331857/posts/644700962341382
event	post_page_73089331857	Olin College of Engineering created an event.	https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/c156.0.130.130/p130x130/10985321_10153131150381858_472887918495394077_n.jpg?oh=eacf0f4ca83ce15b2e3a48c9a63a3c26&oe=559A9520&__gda__=1439701220_f308b924756a3b3af0094287af747b72	https://www.facebook.com/events/1417147131935196/	facebook.com	2015-04-16T18:44:30+0000	1429209870	2015-04-16 20:44:30	11	11	0	0	0	0	0	0	11	73089331857_1417147131935196	https://www.facebook.com/73089331857/posts/1417147131935196
link	post_page_73089331857	Last fall_ in his introduction to Bayesian statistics class_ two of Allen Downey’s students_ juniors Erin Pierce and Ben Kahle_ decided to conduct a survival analysis on the characters in A Song of Ice and Fire—the fantasy novels on which  Game of Thrones is based.  Their research is going viral and the two were recently interviewed on  NPR All Things Considered. Check it out!	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBIdUylcGJHksAa&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQJKC6QvUF14CYRBKg3FhEkcRVS5cCN1-4QPRik6gRwPbKFGO2kC2d4EcpsAJI2EPWW-tJEppbgBdqzvcXAS3Xo6oeR5LvkWsy_JpKGES4Dmkk7KvjPs4tJhv75j5Om9DZdemgWPKfXuG9A1N-ZTSVXd&cfs=1	http://www.npr.org/2015/04/13/399414406/game-of-thrones-fans-develop-formula-to-determine-who-might-survive-series	npr.org	2015-04-15T14:37:38+0000	1429108658	2015-04-15 16:37:38	50	50	1	1	1	0	8	0	59	73089331857_10153128482431858	https://www.facebook.com/73089331857/posts/10153128482431858
video	post_page_73089331857	Olin College is founded on a vision to make engineering education more fun and engaging through hands-on projects with real-world applications. Watch our approach to training global problem solvers in action.	https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xpf1/v/t15.0-10/s130x130/11085955_10153108555456858_35334040_n.jpg?oh=390bd3395bd385175ee32087ee01932b&oe=55E5A009&__gda__=1436784436_b75187255760a8d7ba8c5d5c1c347103	https://www.facebook.com/FWOlinCollege/videos/10153108530026858/	facebook.com	2015-04-06T21:29:53+0000	1428355793	2015-04-06 23:29:53	147	147	0	0	0	0	36	0	183	73089331857_10153108530026858	https://www.facebook.com/73089331857/posts/10153108530026858
video	post_page_73089331857	Friends_ as you know at Olin we believe that engineering is a creative enterprise that begins and ends with people and their desire for a better world. We believe that we have created an extraordinary learning community that is bound by a vibrant culture of innovation and a vision to change engineering education to make it a fun_ engaging_ meaningful and a powerful experience. We are very excited about how well our new admission video demonstrates this! We invite you to view it and let us know what you think.	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCTF33PgZwo_HgB&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQIoo7XOQgjQgtiTqlpltu_DHdvdAyYolJ7USjP0M9opazQmC3E5MZlyMatvsANRRI_kpFX45SOLpv3bfslwRj-jyxE6t8lXAd1PcReqB1VysXc_5MuXiNXq2_EbKlMFHJFRl6y7q2n_3kTMRS4X7qAb&cfs=1	https://youtu.be/55f6OO0hKac?list=UUgfK5EqE5sD2odn_5rwU4VQ	youtu.be	2015-04-02T14:38:36+0000	1427985516	2015-04-02 16:38:36	72	72	5	5	5	0	11	4	92	73089331857_10153098353376858	https://www.facebook.com/73089331857/posts/10153098353376858
photo	post_page_73089331857	Olin College of Engineering with Trent Dye and 12 others	https://scontent.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/s130x130/11076240_10153092152186858_4188567489045555292_n.jpg?oh=be3586568905eabff85c3510f52e92f1&oe=55D02BC5	https://www.facebook.com/FWOlinCollege/photos/a.10153092145851858.1073741846.73089331857/10153092152186858/?type=1	facebook.com	2015-03-30T17:38:22+0000	1427737102	2015-03-30 19:38:22	12	12	0	0	0	0	0	0	12	73089331857_10153092152421858	https://www.facebook.com/73089331857/posts/10153092152421858
photo	post_page_73089331857	Olin College of Engineering with Adit Dhanushkodi and 2 others	https://scontent.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/s130x130/11076240_10153092152176858_451081157033063593_n.jpg?oh=dd775afe79e82417d2e9977ff2ec94e5&oe=55E3AAA0	https://www.facebook.com/FWOlinCollege/photos/a.10153092145851858.1073741846.73089331857/10153092152176858/?type=1	facebook.com	2015-03-30T17:38:22+0000	1427737102	2015-03-30 19:38:22	6	6	0	0	0	0	0	0	6	73089331857_10153092152431858	https://www.facebook.com/73089331857/posts/10153092152431858
photo	post_page_73089331857	Olin College of Engineering with Robert Martello and Greg Marra	https://scontent.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/s130x130/11076240_10153092152181858_2868522824698938355_n.jpg?oh=2d16faaccaeea7d82a5a4bc9f1283646&oe=55D03E50	https://www.facebook.com/FWOlinCollege/photos/a.10153092145851858.1073741846.73089331857/10153092152181858/?type=1	facebook.com	2015-03-30T17:38:22+0000	1427737102	2015-03-30 19:38:22	13	13	0	0	0	0	0	0	13	73089331857_10153092152441858	https://www.facebook.com/73089331857/posts/10153092152441858
photo	post_page_73089331857	Olin College of Engineering with Greg Marra	https://scontent.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s130x130/11076240_10153092152171858_8396475145017598979_n.jpg?oh=849f7ebc1455d4a1de33098b33d49290&oe=55D1B146	https://www.facebook.com/FWOlinCollege/photos/a.10153092145851858.1073741846.73089331857/10153092152171858/?type=1	facebook.com	2015-03-30T17:38:22+0000	1427737102	2015-03-30 19:38:22	10	10	0	0	0	0	0	0	10	73089331857_10153092152456858	https://www.facebook.com/73089331857/posts/10153092152456858
