type,by,post_message,picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes,likes_count_fb,comments_count_fb,comments_all,comments_base,comments_replies,shares,comment_likes,engagement,post_id,post_link
link,post_page_54942390562,Dr. Vincent Bacote_ Associate Professor of Theology and Director of Center for Applied Christian Ethics_ was interviewed this morning on The Harvest Show. He gave great perspective on God’s plan for our work_ on how to seek and find your vocation_ glorifying God in ordinary work_ and on living faithfully in those times when our passions don’t line up with our paying job. Watch the whole show_ or skip ahead to 18:20 to jump right in to the interview.,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBRUnVQGxN4EQpt&w=130&h=130&url=http%3A%2F%2Fharvest.lesea.com%2Fwp-content%2Fuploads%2Fsites%2F8%2F2015%2F02%2Fpromo.jpg&cfs=1&sx=838&sy=0&sw=187&sh=187,http://harvest.lesea.com/the-harvest-show/watch-a-show/?cyear=2015&cmonth=4&cday=20,harvest.lesea.com,2015-04-20T19:43:48+0000,1429559028,4/20/2015 21:43,6,6,0,0,0,0,0,0,6,54942390562_10152701381575563,https://www.facebook.com/54942390562/posts/10152701381575563
link,post_page_54942390562,Attention high school music students! Join us this summer for Summer Music Camp at Wheaton College from June 21-27_ 2015. Take advantage of this rare chance to study with Wheaton_s renowned music faculty in private lessons_ master class and ensemble experiences. Together we_ll learn about music theory_ music history and how to audition for further music study in college. You_ll stay in Wheaton_s newest dorms and be nurtured in your faith and understanding of what it means to be a Christian musician. Learn more and register today!,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQAMHj7nlEYOax8f&w=130&h=130&url=https%3A%2F%2Fwww.facebook.com%2Fads%2Fimage%2F%3Fd%3DAQKIFs_3PAm3_tqXlLa2XPiEirACCA61sKAVVQqEys6ADymxvwac5mGX_8MfkFBbWNIXhoxTjSIfIC5-qbeTBIScABHAE7cy5UprnoMNFE9hb2Fcf-zC8n5LMJzLSX_xzxEbfTTTX9ctxxJnJDzYL9v3&cfs=1,http://www.wheaton.edu/Academics/Departments/Conservatory/Summer-Music-Camp,wheaton.edu,2015-04-20T14:45:20+0000,1429541120,4/20/2015 16:45,110,110,6,6,6,0,17,3,136,54942390562_10152700898355563,https://www.facebook.com/54942390562/posts/10152700898355563
photo,post_page_54942390562,Is someone you know considering a gap year before college? HoneyRock_s Vanguard program might be just the right fit. Learn more at http://bit.ly/VanguardInfo.,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/q81/s130x130/11000109_10153185631389449_3305972568174386120_n.jpg?oh=68ac4d6422f2b5f2d6222df1b4aacf22&oe=55D440B4&__gda__=1436293959_bc4b85286425475260d9c81b1b58687d,https://www.facebook.com/HoneyRock/photos/a.149683619448.106849.19824964448/10153185631389449/?type=1,facebook.com,2015-04-20T14:19:09+0000,1429539549,4/20/2015 16:19,5,5,0,0,0,0,0,0,5,54942390562_10152700866200563,https://www.facebook.com/54942390562/posts/10152700866200563
photo,post_page_54942390562,April 17 Image of the Week  Wheaton College’s class films is a highly anticipated event each spring semester. Many students work for many months writing_ directing_ acting_ producing and editing in the hopes of taking home the coveted Best Film award.  Peter Desrosier ’16 sent in this photo giving evidence to the popularity of the class films event as students begin to gather in the courtyard of Edman Memorial Chapel. Adams Hall_ Blanchard Hall and Pierce Chapel add a fitting frame to this nice early spring scene.,https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/11156327_10152695165390563_4209830249951279507_n.jpg?oh=02368bd153aebf6bf052f51cabbce337&oe=559AE02C,https://www.facebook.com/wheatoncollege.il/photos/a.10152510812215563.1073741840.54942390562/10152695165390563/?type=1,facebook.com,2015-04-17T20:57:47+0000,1429304267,4/17/2015 22:57,104,105,0,0,0,0,1,0,105,54942390562_10152695165875563,https://www.facebook.com/54942390562/posts/10152695165875563
link,post_page_54942390562,Congratulations to alumnus Steve Clum _74_ who was recently inducted into the elite ranks of Illinois Hall of Fame coaches!,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQC3IKkNwlxoZqZ0&w=130&h=130&url=http%3A%2F%2Fwww.wheatonchristian.org%2Fuploads%2FClumCoachAwardBanner.jpg&cfs=1&sx=263&sy=0&sw=270&sh=270,http://www.wheatonchristian.org/clum-hall-of-fame-coach,wheatonchristian.org,2015-04-16T15:52:10+0000,1429199530,4/16/2015 17:52,72,72,2,2,2,0,4,0,78,54942390562_10152692834955563,https://www.facebook.com/54942390562/posts/10152692834955563
photo,post_page_54942390562,Congratulations to the Wheaton College Graduate Psychology department! The Wheaton College Doctoral Program in Clinical Psychology (Psy.D.) had 100% of its students applying for pre-doctoral internship match this year - for the 3rd straight year!,https://scontent.xx.fbcdn.net/hphotos-xat1/v/t1.0-9/s130x130/11109265_1087484141264954_8419381003885331883_n.jpg?oh=cdd3529ce78c7736c7a669341255a869&oe=559B5749,https://www.facebook.com/WheatonCollegeGraduatePsychology/photos/a.539383482741692.143303.280045262008850/1087484141264954/?type=1,facebook.com,2015-04-15T19:00:08+0000,1429124408,4/15/2015 21:00,66,66,1,1,1,0,0,1,68,54942390562_10152691244680563,https://www.facebook.com/54942390562/posts/10152691244680563
link,post_page_54942390562,_The Koinonia cabinet showed me that this community is not about perfection and performance; Koinonia exists for the imperfect and the broken._ -Jennifer Fu _15 talks about the importance of race-specific ministry through the Wheaton College Office of Multicultural Development on our student blog_ #mywheaton.,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCDVvUTgdM38VP3&w=130&h=130&url=http%3A%2F%2Fwww.wheaton.edu%2FStudent-Life%2FMy-Wheaton%2F2015%2F04%2F%7E%2Fmedia%2FEB8A5BE42A694682B72D655C691C8F11.ashx&cfs=1&sx=77&sy=0&sw=400&sh=400,http://www.wheaton.edu/Student-Life/My-Wheaton/2015/04/My-Koinonia-Family,wheaton.edu,2015-04-15T18:29:09+0000,1429122549,4/15/2015 20:29,28,28,1,0,0,0,1,0,29,54942390562_10152691192560563,https://www.facebook.com/54942390562/posts/10152691192560563
link,post_page_54942390562,_I don_t see healing without community._ Wheaton College Graduate School alumnus Carlos Ruiz M.A. _13 talks about how his experiences as an immigrant from Mexico and master’s degree from Wheaton’s clinical psychology program have prepared him for a life of multicultural ministry in Chicago in #wheatonmag.,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBo7iiFnl_jvuXm&w=130&h=130&url=https%3A%2F%2Ffbcdn-sphotos-g-a.akamaihd.net%2Fhphotos-ak-xfp1%2Fv%2Ft1.0-9%2F603767_10152689638195563_5071040322934464558_n.jpg%3Foh%3Dc3e2325e58d46152d24d20f8541cb3be%26oe%3D55A8DB75%26__gda__%3D1440360700_8ba3f208ba7fcab7e561b644df47961c&cfs=1&sx=68&sy=0&sw=320&sh=320,http://www.wheaton.edu/Media-Center/Wheaton-Magazine/Winter-2015/Alumni-Profiles/Seek-Justice-Love-Mercy-Carlos-Ruiz,wheaton.edu,2015-04-14T21:23:27+0000,1429046607,4/14/2015 23:23,23,23,1,1,1,0,2,0,26,54942390562_10152689638605563,https://www.facebook.com/54942390562/posts/10152689638605563
photo,post_page_54942390562,In light of the recent tornado damage_ Wheaton_s Humanitarian Disaster Institute is offering a great opportunity for those living in Dekalb_ Ogle and Whiteside counties in Illinois to attend their upcoming disaster ministry conference for free! Check the link below to learn more.,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/s130x130/11008543_809310822483372_692300829021928566_n.png?oh=faaf3eebf24624105128be2cce91d847&oe=55A1753E&__gda__=1439972281_37565929d5ff0e42e66e5bf72bcc7cfe,https://www.facebook.com/HDIWheaton/photos/a.449711025110022.1073741825.410355099045615/809310822483372/?type=1,facebook.com,2015-04-14T02:25:16+0000,1428978316,4/14/2015 4:25,15,16,0,0,0,0,0,0,15,54942390562_10152688030610563,https://www.facebook.com/54942390562/posts/10152688030610563
photo,post_page_54942390562,Congratulations to editor Allison J. Althoff and Wheaton Magazine_ honored with a first place Award of Excellence from the Evangelical Press Association’s 2015 contest! (http://www.evangelicalpress.com/2015-awards-of-excellence/) The #wheatonmag website also received a third place Award of Merit_ and the autumn 2014 “What’s it Worth?” feature article by Katherine Halberstadt Anderson received a second place award on the value of a Wheaton education. Read the magazine’s award-winning content online: wheaton.edu/magazine.,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/s130x130/11147089_10152687311515563_4538776436338337249_n.jpg?oh=eded2ae8760909cd148f937bd6e08dbb&oe=55A7C5EB&__gda__=1436582174_6566266bc2f312310e3dc175ee442607,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152687311515563/?type=1,facebook.com,2015-04-13T18:40:16+0000,1428950416,4/13/2015 20:40,119,120,16,16,16,0,8,35,178,54942390562_10152687311955563,https://www.facebook.com/54942390562/posts/10152687311955563
