post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count
128219800554550_955427321167123	7f0c0643c4f0527012a3f8546aac14ac6d949de6	An amazing finale! Thank you to all the students_ staff and faculty that represented the 10 regions of Ghana at our last global learning event for the semester! What a way to highlight the cultural richness of Ghana_s people. #TeamGhana #TeamAshesi	2015-04-20T18:21:32+0000	955427071167148_955895104453678	13d83fe3f39856287ebda18d1e88d6b5923ab52c	0	This is education!	2015-04-21T14:37:54+0000	0
128219800554550_955427321167123	7f0c0643c4f0527012a3f8546aac14ac6d949de6	An amazing finale! Thank you to all the students_ staff and faculty that represented the 10 regions of Ghana at our last global learning event for the semester! What a way to highlight the cultural richness of Ghana_s people. #TeamGhana #TeamAshesi	2015-04-20T18:21:32+0000	955427071167148_955465341163321	23bcf541cb37d7e496c06086065591b3cb3cd0c5	0	Great performance!	2015-04-20T20:09:25+0000	0
128219800554550_955427321167123	7f0c0643c4f0527012a3f8546aac14ac6d949de6	An amazing finale! Thank you to all the students_ staff and faculty that represented the 10 regions of Ghana at our last global learning event for the semester! What a way to highlight the cultural richness of Ghana_s people. #TeamGhana #TeamAshesi	2015-04-20T18:21:32+0000	955427071167148_955496391160216	02aa4fe378f8a11fcd9442ea8940ce8fe7a58600	0	awesome	2015-04-20T21:20:02+0000	0
128219800554550_952970611412794	7f0c0643c4f0527012a3f8546aac14ac6d949de6	As we gear up to welcome our pioneer engineering class_ we are excited by all the progress being made towards our new Engineering Building! The facility will expand student collaboration spaces on campus and be an inspiring base for Ashesi_s future engineers! #Ghana #Africa #Vim	2015-04-15T16:00:22+0000	952967811413074_953335488042973	7f0c0643c4f0527012a3f8546aac14ac6d949de6	1	No Lade, we do not offer law as a degree; our degrees are Computer Science, Management Information Systems, Business Administration and soon Engineering (Mechanical Engineering, Electrical Engineering and Computer Engineering).	2015-04-16T08:46:34+0000	0
128219800554550_952970611412794	7f0c0643c4f0527012a3f8546aac14ac6d949de6	As we gear up to welcome our pioneer engineering class_ we are excited by all the progress being made towards our new Engineering Building! The facility will expand student collaboration spaces on campus and be an inspiring base for Ashesi_s future engineers! #Ghana #Africa #Vim	2015-04-15T16:00:22+0000	952967811413074_953274261382429	48fe0ad1d25217f1c87001a3cd121286d7e38772	0	Do your school offer law	2015-04-16T06:43:46+0000	0
128219800554550_952970611412794	7f0c0643c4f0527012a3f8546aac14ac6d949de6	As we gear up to welcome our pioneer engineering class_ we are excited by all the progress being made towards our new Engineering Building! The facility will expand student collaboration spaces on campus and be an inspiring base for Ashesi_s future engineers! #Ghana #Africa #Vim	2015-04-15T16:00:22+0000	952967811413074_953335208043001	7f0c0643c4f0527012a3f8546aac14ac6d949de6	1	Kojo Asiedu-Odei glad you have kept an eye on our progress! Thank you!	2015-04-16T08:45:11+0000	0
128219800554550_952970611412794	7f0c0643c4f0527012a3f8546aac14ac6d949de6	As we gear up to welcome our pioneer engineering class_ we are excited by all the progress being made towards our new Engineering Building! The facility will expand student collaboration spaces on campus and be an inspiring base for Ashesi_s future engineers! #Ghana #Africa #Vim	2015-04-15T16:00:22+0000	952967811413074_953335714709617	7fa5c5ce4a11da3a95ba57a0b5082d4fb8980f08	1	fantastic progress of the leading private university in Ghana. when are u introducing law programmes?	2015-04-16T08:47:36+0000	0
128219800554550_952970611412794	7f0c0643c4f0527012a3f8546aac14ac6d949de6	As we gear up to welcome our pioneer engineering class_ we are excited by all the progress being made towards our new Engineering Building! The facility will expand student collaboration spaces on campus and be an inspiring base for Ashesi_s future engineers! #Ghana #Africa #Vim	2015-04-15T16:00:22+0000	952967811413074_953527654690423	7f0c0643c4f0527012a3f8546aac14ac6d949de6	1	There's been a lot of interest in that; we will keep adding on majors, and law could be part of that.	2015-04-16T18:13:23+0000	1
128219800554550_952970611412794	7f0c0643c4f0527012a3f8546aac14ac6d949de6	As we gear up to welcome our pioneer engineering class_ we are excited by all the progress being made towards our new Engineering Building! The facility will expand student collaboration spaces on campus and be an inspiring base for Ashesi_s future engineers! #Ghana #Africa #Vim	2015-04-15T16:00:22+0000	952967811413074_953627668013755	7fa5c5ce4a11da3a95ba57a0b5082d4fb8980f08	1	Fantastic	2015-04-16T23:23:33+0000	0
128219800554550_952970611412794	7f0c0643c4f0527012a3f8546aac14ac6d949de6	As we gear up to welcome our pioneer engineering class_ we are excited by all the progress being made towards our new Engineering Building! The facility will expand student collaboration spaces on campus and be an inspiring base for Ashesi_s future engineers! #Ghana #Africa #Vim	2015-04-15T16:00:22+0000	952967811413074_953097541400101	7fa5c5ce4a11da3a95ba57a0b5082d4fb8980f08	0	I lost the opportunity of being schooled here way back in 2004	2015-04-15T21:23:34+0000	0
